minute,player_id,player,receiver_id,receiver,x,y
16,99165.0,Danny Ward,87182.0,Jannik Vestergaard,16.3,46.1
16,87182.0,Jannik Vestergaard,99165.0,Danny Ward,23.3,71.2
16,99165.0,Danny Ward,345664.0,Boubakary Soumaré,10.5,44.2
17,345664.0,Boubakary Soumaré,301441.0,James Justin,35.3,28.8
20,433572.0,Bilal El Khannouss,99165.0,Danny Ward,49.9,50.1
20,99165.0,Danny Ward,301441.0,James Justin,26.2,44.6
20,345664.0,Boubakary Soumaré,97710.0,Conor Coady,60.5,32.5
20,97710.0,Conor Coady,87182.0,Jannik Vestergaard,52.5,23.1
20,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,43.8,41.2
20,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,39.9,73.0
20,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,41.2,75.7
20,416970.0,Victor Kristiansen,99165.0,Danny Ward,27.1,97.7
20,67491.0,Jordan Ayew,87182.0,Jannik Vestergaard,38.8,66.6
20,87182.0,Jannik Vestergaard,97710.0,Conor Coady,34.3,47.6
20,97710.0,Conor Coady,301441.0,James Justin,39.0,26.4
20,301441.0,James Justin,364215.0,Oliver Skipp,53.7,6.4
20,364215.0,Oliver Skipp,301441.0,James Justin,50.9,16.2
21,301441.0,James Justin,87182.0,Jannik Vestergaard,45.4,30.1
21,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,43.7,44.3
21,364215.0,Oliver Skipp,318750.0,Stephy Mavididi,47.8,36.7
21,318750.0,Stephy Mavididi,87182.0,Jannik Vestergaard,47.9,58.5
21,87182.0,Jannik Vestergaard,99165.0,Danny Ward,37.3,52.7
21,99165.0,Danny Ward,416970.0,Victor Kristiansen,22.0,54.2
21,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,32.3,87.4
22,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,31.7,49.3
22,345664.0,Boubakary Soumaré,67491.0,Jordan Ayew,33.6,44.9
23,67491.0,Jordan Ayew,364215.0,Oliver Skipp,45.7,36.1
23,364215.0,Oliver Skipp,301441.0,James Justin,39.0,27.1
23,416970.0,Victor Kristiansen,345664.0,Boubakary Soumaré,46.2,96.3
23,345664.0,Boubakary Soumaré,318750.0,Stephy Mavididi,51.7,71.8
23,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,64.7,85.9
23,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,66.5,96.8
23,345664.0,Boubakary Soumaré,301441.0,James Justin,63.8,66.4
24,97710.0,Conor Coady,345664.0,Boubakary Soumaré,13.8,37.7
24,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,18.7,43.9
24,364215.0,Oliver Skipp,318750.0,Stephy Mavididi,56.9,59.6
25,67491.0,Jordan Ayew,433572.0,Bilal El Khannouss,60.8,38.3
25,433572.0,Bilal El Khannouss,364215.0,Oliver Skipp,70.7,53.1
26,67491.0,Jordan Ayew,345664.0,Boubakary Soumaré,64.2,100.0
26,345664.0,Boubakary Soumaré,67491.0,Jordan Ayew,64.6,94.1
26,67491.0,Jordan Ayew,345664.0,Boubakary Soumaré,64.1,96.2
26,345664.0,Boubakary Soumaré,87182.0,Jannik Vestergaard,63.0,89.4
27,87182.0,Jannik Vestergaard,97710.0,Conor Coady,53.8,65.4
27,97710.0,Conor Coady,364215.0,Oliver Skipp,52.8,35.4
27,364215.0,Oliver Skipp,416970.0,Victor Kristiansen,56.8,43.4
27,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,61.1,85.4
27,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,81.7,91.2
27,416970.0,Victor Kristiansen,106981.0,Jamie Vardy,99.4,0.5
27,106981.0,Jamie Vardy,87182.0,Jannik Vestergaard,99.3,60.3
29,87182.0,Jannik Vestergaard,99165.0,Danny Ward,4.3,58.1
29,99165.0,Danny Ward,67491.0,Jordan Ayew,10.8,41.0
29,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,63.6,57.5
30,99165.0,Danny Ward,87182.0,Jannik Vestergaard,13.9,33.3
30,87182.0,Jannik Vestergaard,364215.0,Oliver Skipp,21.2,46.9
31,364215.0,Oliver Skipp,416970.0,Victor Kristiansen,33.9,51.9
31,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,30.3,81.4
31,87182.0,Jannik Vestergaard,106981.0,Jamie Vardy,23.2,51.8
31,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,33.5,49.4
31,416970.0,Victor Kristiansen,433572.0,Bilal El Khannouss,32.1,69.6
31,433572.0,Bilal El Khannouss,416970.0,Victor Kristiansen,46.3,94.1
31,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,34.7,76.1
31,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,33.3,50.1
31,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,37.8,83.6
31,416970.0,Victor Kristiansen,87182.0,Jannik Vestergaard,32.8,74.4
31,87182.0,Jannik Vestergaard,106981.0,Jamie Vardy,29.9,52.7
31,106981.0,Jamie Vardy,97710.0,Conor Coady,43.5,51.0
31,97710.0,Conor Coady,301441.0,James Justin,55.9,9.8
31,301441.0,James Justin,364215.0,Oliver Skipp,65.9,2.6
31,364215.0,Oliver Skipp,87182.0,Jannik Vestergaard,56.5,24.9
32,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,46.1,40.4
32,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,51.8,71.8
32,318750.0,Stephy Mavididi,416970.0,Victor Kristiansen,58.9,91.2
32,416970.0,Victor Kristiansen,99165.0,Danny Ward,35.1,84.8
32,99165.0,Danny Ward,345664.0,Boubakary Soumaré,14.3,60.5
32,345664.0,Boubakary Soumaré,99165.0,Danny Ward,30.2,61.8
32,99165.0,Danny Ward,364215.0,Oliver Skipp,7.6,51.5
32,364215.0,Oliver Skipp,87182.0,Jannik Vestergaard,25.6,37.4
32,87182.0,Jannik Vestergaard,97710.0,Conor Coady,28.6,8.2
32,97710.0,Conor Coady,301441.0,James Justin,39.8,1.9
32,97710.0,Conor Coady,67491.0,Jordan Ayew,34.4,6.8
32,87182.0,Jannik Vestergaard,318750.0,Stephy Mavididi,38.3,36.7
32,345664.0,Boubakary Soumaré,97710.0,Conor Coady,53.7,51.3
33,97710.0,Conor Coady,364215.0,Oliver Skipp,52.6,25.8
33,364215.0,Oliver Skipp,301441.0,James Justin,65.9,29.4
33,301441.0,James Justin,364215.0,Oliver Skipp,70.5,3.5
33,364215.0,Oliver Skipp,87182.0,Jannik Vestergaard,61.3,10.6
33,87182.0,Jannik Vestergaard,416970.0,Victor Kristiansen,48.2,44.5
33,416970.0,Victor Kristiansen,318750.0,Stephy Mavididi,51.3,68.4
33,318750.0,Stephy Mavididi,433572.0,Bilal El Khannouss,65.2,95.1
33,433572.0,Bilal El Khannouss,345664.0,Boubakary Soumaré,66.2,87.2
33,345664.0,Boubakary Soumaré,433572.0,Bilal El Khannouss,63.4,71.1
33,318750.0,Stephy Mavididi,345664.0,Boubakary Soumaré,67.7,86.8
33,345664.0,Boubakary Soumaré,416970.0,Victor Kristiansen,66.6,72.9
33,416970.0,Victor Kristiansen,345664.0,Boubakary Soumaré,63.9,91.1
33,345664.0,Boubakary Soumaré,364215.0,Oliver Skipp,59.5,68.4
34,301441.0,James Justin,67491.0,Jordan Ayew,67.7,1.4
37,433572.0,Bilal El Khannouss,99165.0,Danny Ward,49.7,50.4
